Date,Open,High,Low,Close,Adj Close,Volume
2004-11-01,238.500000,244.106003,236.875000,243.255997,113.151505,10136488
2004-11-02,243.000000,243.000000,238.386993,238.824997,111.090408,10346408
2004-11-03,239.750000,246.875000,239.750000,245.119003,114.018074,13416544
2004-11-04,247.561996,251.087006,247.561996,248.462006,115.573090,12609208
2004-11-05,251.875000,260.962006,245.156006,247.074997,114.927910,8753440
2004-11-08,250.000000,258.587006,250.000000,252.225006,117.323463,19919704
2004-11-09,253.750000,255.625000,250.630997,254.593994,118.425385,11983608
2004-11-10,255.625000,256.250000,251.875000,255.130997,118.675201,14120232
2004-11-11,255.000000,255.000000,251.375000,252.136993,117.282524,10565048
2004-11-12,255.000000,255.962006,251.875000,253.399994,117.870033,2286200
2004-11-15,,,,,,
2004-11-16,254.625000,256.712006,254.000000,256.131012,119.140388,9534112
2004-11-17,256.250000,260.299988,255.000000,259.612000,120.759537,7289640
2004-11-18,258.756012,260.000000,257.149994,257.850006,119.939964,5327760
2004-11-19,258.375000,259.375000,256.500000,257.230988,119.652023,4465760
2004-11-22,256.125000,256.125000,250.750000,253.500000,117.916557,4931216
2004-11-23,253.750000,255.587006,252.750000,253.880997,118.093758,5517256
2004-11-24,253.125000,255.250000,252.274994,252.988007,117.678383,4334136
2004-11-25,253.787994,255.462006,252.625000,253.699997,118.009544,4905184
2004-11-26,,,,,,
2004-11-29,255.024994,261.875000,254.125000,261.350006,121.568001,7029840
2004-11-30,262.513000,271.100006,262.500000,268.649994,124.963646,14092192
2004-12-01,268.750000,269.375000,262.649994,263.544006,122.588562,10463848
2004-12-02,265.000000,266.750000,258.919006,259.987000,120.933998,12578968
2004-12-03,260.000000,260.763000,255.505997,256.419006,119.274315,12531568
2004-12-06,255.000000,259.250000,251.750000,253.768997,118.041672,9917960
2004-12-07,248.750000,257.975006,248.750000,254.988007,118.608681,8226944
2004-12-08,253.050003,255.625000,252.500000,253.925003,118.114243,7438344
2004-12-09,254.875000,257.500000,254.375000,255.274994,118.742188,6389584
2004-12-10,256.500000,257.500000,253.199997,254.175003,118.230522,6116240
2004-12-13,257.500000,257.500000,251.919006,254.699997,118.474709,3424944
2004-12-14,255.625000,256.837006,255.125000,256.406006,119.268288,3382280
